test_label,technology,data_channel_mode,dashboard_mode,scenario_clients,hz,run_id,metric,count,mean,median,std,min,max,p95,p99,iqr
visualization_websocket,websocket,,websocket,1,1,run1,server_processing_ms,282,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_websocket,websocket,,websocket,100,1,run1,server_processing_ms,18238,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_websocket,websocket,,websocket,100,1,run2,server_processing_ms,32,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_websocket,websocket,,websocket,100,1,run3,server_processing_ms,315,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_websocket,websocket,,websocket,500,1,run1_ws500_retry5,server_processing_ms,9,0.4444444444444444,0.0,0.7264831572567789,0,2,1.5999999999999996,1.92,1.0
visualization_websocket,websocket,,websocket,500,1,run2,server_processing_ms,7611,0.04664301668637499,0.0,1.5292351084648208,0,60,0.0,0.0,0.0
visualization_websocket,websocket,,websocket,500,1,run3,server_processing_ms,456,0.0043859649122807015,0.0,0.06615380131902479,0,1,0.0,0.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,1,1,run2,dashboard_delivery_ms,545,17.4,17.0,9.034329950088098,0,57,33.799999999999955,42.0,12.0
visualization_http-post-long-polling,http-post,,long-polling,1,1,run3,dashboard_delivery_ms,1268,18.771293375394322,18.0,9.114360468799797,0,61,34.0,43.0,12.0
visualization_http-post-long-polling,http-post,,long-polling,100,1,run1,dashboard_delivery_ms,66372,51.845808473452664,50.0,21.866764718504946,2,174,90.0,106.0,32.0
visualization_http-post-long-polling,http-post,,long-polling,100,1,run2,dashboard_delivery_ms,105912,16.81327894856107,16.0,10.533332560471813,0,68,35.0,42.0,16.0
visualization_http-post-long-polling,http-post,,long-polling,100,1,run3,dashboard_delivery_ms,86920,19.31455361251726,18.0,11.824801857705232,0,85,40.0,48.0,18.0
visualization_http-post-long-polling,http-post,,long-polling,500,1,run1,dashboard_delivery_ms,23000,9153.150434782608,9144.0,2338.890465715164,3059,18345,12882.0,16751.049999999992,3309.25
visualization_http-post-long-polling,http-post,,long-polling,500,1,run2,dashboard_delivery_ms,284125,213.7306115266168,88.0,297.74366908714336,0,2004,869.0,1377.0,173.0
visualization_http-post-long-polling,http-post,,long-polling,500,1,run3,dashboard_delivery_ms,144416,47.22145053179703,42.0,33.98990919608595,0,291,111.0,150.0,46.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run1,dashboard_delivery_ms,187,9.176470588235293,9.0,1.242561676252566,8,21,10.699999999999989,11.139999999999986,2.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run3,dashboard_delivery_ms,13,3.5384615384615383,4.0,0.5188745216627708,3,4,4.0,4.0,1.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run1,dashboard_delivery_ms,28396,10.2723270883223,9.0,4.626318269414404,3,64,18.0,24.0,7.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run2,dashboard_delivery_ms,530,0.5584905660377358,0.0,1.0109857740149208,0,8,2.0,4.0,1.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run1,dashboard_delivery_ms,15773,97131.10923730425,96289.0,52329.78338986356,6741,188123,179104.6,186538.96,90435.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run2,dashboard_delivery_ms,14476,3.376347057198121,2.0,3.754335766206214,0,109,10.0,16.0,4.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run3,dashboard_delivery_ms,4258,4.251761390324096,3.0,6.1389844318304885,0,165,14.0,23.860000000000582,5.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run1,dashboard_delivery_ms,283,9.190812720848056,9.0,0.8705099855917295,7,11,10.0,11.0,1.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run2,dashboard_delivery_ms,264,7.708333333333333,8.0,0.952366806883906,6,10,9.0,9.370000000000005,1.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run3,dashboard_delivery_ms,78,5.012820512820513,4.0,2.5609129345362476,3,10,10.0,10.0,1.75
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run1,dashboard_delivery_ms,28322,6.101546500953322,5.0,4.54123966299409,0,38,15.0,20.0,7.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run2,dashboard_delivery_ms,221,0.47058823529411764,0.0,0.9840981647482953,0,8,2.0,3.0,1.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run3,dashboard_delivery_ms,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run1,dashboard_delivery_ms,14658,106766.53370173284,107497.5,55663.746013480515,7141,201929,192321.2,200043.01,96601.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run2,dashboard_delivery_ms,17910,3.933724176437744,3.0,4.060216869212717,0,103,12.0,17.0,5.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run3,dashboard_delivery_ms,4230,5.147281323877069,4.0,5.352710703816133,0,92,16.0,22.0,7.0
visualization_websocket,websocket,,websocket,1,1,run1,dashboard_delivery_ms,282,75.56382978723404,76.0,0.8506875256509694,74,78,77.0,77.0,1.0
visualization_websocket,websocket,,websocket,100,1,run1,dashboard_delivery_ms,18238,6.802664765873451,6.0,5.29604357626344,0,48,16.0,26.63000000000102,6.0
visualization_websocket,websocket,,websocket,100,1,run2,dashboard_delivery_ms,32,0.34375,0.0,0.6530017536902797,0,2,2.0,2.0,0.25
visualization_websocket,websocket,,websocket,100,1,run3,dashboard_delivery_ms,315,0.3492063492063492,0.0,0.6324235599621726,0,3,2.0,2.8600000000000136,1.0
visualization_websocket,websocket,,websocket,500,1,run1_ws500_retry5,dashboard_delivery_ms,9,136.77777777777777,153.0,41.28491788104276,29,154,154.0,154.0,1.0
visualization_websocket,websocket,,websocket,500,1,run2,dashboard_delivery_ms,7611,1.0194455393509394,0.0,2.0540374670203234,0,104,4.0,8.0,1.0
visualization_websocket,websocket,,websocket,500,1,run3,dashboard_delivery_ms,456,2.344298245614035,2.0,1.9773137374601342,0,14,6.0,10.0,2.0
visualization_http-post-long-polling,http-post,,long-polling,1,1,run2,dom_update_ms,545,0.03486238532110092,0.0,0.18359970183168084,0,1,0.0,1.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,1,1,run3,dom_update_ms,1268,0.032334384858044164,0.0,0.17695640043956418,0,1,0.0,1.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,100,1,run1,dom_update_ms,66372,1.3697040920870247,1.0,1.061347662111266,0,59,2.0,6.0,1.0
visualization_http-post-long-polling,http-post,,long-polling,100,1,run2,dom_update_ms,105912,0.004654807764936928,0.0,0.07314894330577076,0,2,0.0,0.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,100,1,run3,dom_update_ms,86920,0.005223193741371376,0.0,0.07566505223240232,0,2,0.0,0.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,500,1,run1,dom_update_ms,23000,8.495565217391304,6.0,42.15231406574374,4,3469,10.0,22.0,2.0
visualization_http-post-long-polling,http-post,,long-polling,500,1,run2,dom_update_ms,284125,0.0024285085789705237,0.0,0.0587994806343264,0,3,0.0,0.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,500,1,run3,dom_update_ms,144416,0.003787668956348327,0.0,0.07191728106751316,0,3,0.0,0.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run1,dom_update_ms,187,0.15508021390374332,0.0,0.3629528968875904,0,1,1.0,1.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run3,dom_update_ms,13,0.15384615384615385,0.0,0.3755338080994054,0,1,1.0,1.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run1,dom_update_ms,28396,1.6343499084378081,2.0,0.7986706488905058,0,17,3.0,4.0,1.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run2,dom_update_ms,530,0.02830188679245283,0.0,0.19721823334933147,0,2,0.0,1.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run1,dom_update_ms,15773,7.455525264692829,6.0,8.635098633817018,4,214,11.0,51.280000000000655,2.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run2,dom_update_ms,14476,0.003246753246753247,0.0,0.0658922565353711,0,2,0.0,0.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run3,dom_update_ms,4258,0.003992484734617191,0.0,0.07652931864666807,0,2,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run1,dom_update_ms,283,0.16607773851590105,0.0,0.37280966132958937,0,1,1.0,1.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run2,dom_update_ms,264,0.1553030303030303,0.0,0.3628812444275983,0,1,1.0,1.0,0.0
